RES_ID,Fecha_Viaje,Fecha_Reserva,Lead_Time_Dias,Noches_Estancia,Barco,Compañia,Tipo_Ruta,Suite_Type,Booking_Source,Package,Guest_Country,Cabinas_Totales_Barco,Cabinas_Reservadas,Porcentaje_Ocupacion_Ciclo,Pasajeros_Reserva,Tripulacion,Ingreso_Total_Reserva_USD,Gasto_Promedio_Diario_Huesped_USD,Puntuacion_Satisfaccion
RES-00001,1/5/2018,8/18/2017,140,6,MSC World Europa,MSC Cruceros,Mediterráneo,Balcony,Direct,All Inclusive,USA,2626,1,87.12,2,2138,2762.28,147.39,4.4
RES-00002,1/5/2018,9/14/2017,113,6,MSC World Europa,MSC Cruceros,Mediterráneo,Interior,B2B,All Inclusive + EXC,Spain,2626,1,87.12,1,2138,1863.06,144.91,4.3
RES-00003,1/5/2018,11/1/2017,65,6,MSC World Europa,MSC Cruceros,Mediterráneo,Oceanview,Web,All Inclusive,Germany,2626,1,87.12,2,2138,2760.48,147.24,4.6
RES-00004,1/5/2018,10/31/2017,66,6,MSC World Europa,MSC Cruceros,Mediterráneo,Interior,Web,All Inclusive + EXC,USA,2626,2,87.12,2,2138,3883.68,158.04,4.3
RES-00005,1/5/2018,9/17/2017,110,6,MSC World Europa,MSC Cruceros,Mediterráneo,Oceanview,Direct,All Inclusive + EXC,USA,2626,1,87.12,2,2138,2723.28,144.14,4.3
RES-00006,1/5/2018,11/21/2017,45,6,MSC World Europa,MSC Cruceros,Mediterráneo,Interior,Web,All Inclusive,USA,2626,1,87.12,2,2138,2753.52,146.66,4.6
RES-00007,1/5/2018,11/11/2017,55,6,MSC World Europa,MSC Cruceros,Mediterráneo,Interior,Web,Full Board,UK,2626,2,87.12,2,2138,3671.4,140.35,4.6
RES-00008,1/5/2018,9/13/2017,114,6,MSC World Europa,MSC Cruceros,Mediterráneo,Interior,B2B,All Inclusive,UK,2626,1,87.12,2,2138,2848.08,154.54,4.4
RES-00009,1/5/2018,12/31/2017,5,6,MSC World Europa,MSC Cruceros,Mediterráneo,Balcony,Direct,Full Board,Spain,2626,1,87.12,2,2138,2685.96,141.03,4.6
RES-00010,1/5/2018,11/9/2017,57,6,MSC World Europa,MSC Cruceros,Mediterráneo,Oceanview,Web,All Inclusive,Spain,2626,1,87.12,2,2138,2741.52,145.66,4.4
RES-00011,1/5/2018,10/31/2017,66,6,MSC World Europa,MSC Cruceros,Mediterráneo,Suite,Web,Full Board,France,2626,2,87.12,4,2138,5880.24,162.21,4.5
RES-00012,1/5/2018,8/29/2017,129,6,MSC World Europa,MSC Cruceros,Mediterráneo,Balcony,B2B,All Inclusive,USA,2626,2,87.12,2,2138,3809.28,151.84,4.5
RES-00013,1/5/2018,10/18/2017,79,6,MSC World Europa,MSC Cruceros,Mediterráneo,Oceanview,B2B,All Inclusive,USA,2626,1,87.12,2,2138,2729.28,144.64,4.7
RES-00014,1/5/2018,11/19/2017,47,6,MSC World Europa,MSC Cruceros,Mediterráneo,Suite,Web,All Inclusive,Spain,2626,1,87.12,1,2138,1907.16,152.26,4.8
RES-00015,1/5/2018,10/14/2017,83,6,MSC World Europa,MSC Cruceros,Mediterráneo,Interior,B2B,Full Board + EXC,USA,2626,2,87.12,2,2138,3878.64,157.62,4.3
RES-00016,1/5/2018,11/12/2017,54,7,Icon of the Seas,Royal Caribbean,Caribe,Balcony,B2B,Full Board,Germany,2805,1,80.76,2,2350,3509.66,167.89,4.7
RES-00017,1/5/2018,12/6/2017,30,7,Icon of the Seas,Royal Caribbean,Caribe,Interior,Direct,Full Board,USA,2805,1,80.76,2,2350,3698.52,181.38,4.7
RES-00018,1/5/2018,10/25/2017,72,7,Icon of the Seas,Royal Caribbean,Caribe,Oceanview,Web,All Inclusive,USA,2805,1,80.76,2,2350,3660.3,178.65,5
RES-00019,1/5/2018,10/3/2017,94,7,Icon of the Seas,Royal Caribbean,Caribe,Oceanview,B2B,All Inclusive,France,2805,1,80.76,2,2350,3792.88,188.12,4.7
RES-00020,1/5/2018,10/5/2017,92,7,Icon of the Seas,Royal Caribbean,Caribe,Balcony,Web,Full Board,Germany,2805,1,80.76,2,2350,3668.42,179.23,4.7
RES-00021,1/5/2018,11/23/2017,43,7,Icon of the Seas,Royal Caribbean,Caribe,Interior,B2B,All Inclusive + EXC,UK,2805,1,80.76,2,2350,3539.34,170.01,4.6
RES-00022,1/5/2018,11/12/2017,54,7,Icon of the Seas,Royal Caribbean,Caribe,Balcony,Direct,Full Board,UK,2805,1,80.76,2,2350,3522.12,168.78,4.7
